	Unnamed: 0.2	Unnamed: 0.1	Unnamed: 0	sourceLang	targetLang	sourceString	targetString	stringID	url	license	translator_ID	translated	trans_seg	target_seg
10	10	10	10	en	zh	 and i have a little cold and a cough 	 我有点感冒而且咳嗽 	CMU_1:15	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我有点感冒和咳嗽	我 有点 感冒 和 咳嗽	  我 有点 感冒 而且 咳嗽  
11	11	11	11	en	zh	 and i'm really having some bad chest pain today 	 今天我的胸部真的很痛 	CMU_1:16	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我今天真的有些严重的胸痛	我 今天 真的 有些 严重 的 胸痛	  今天 我 的 胸部 真的 很痛  
12	12	12	12	en	zh	 and is this the right time for your hay fever 	 现在是您得花粉症的时候吗 	CMU_1:17	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	这是花粉症的合适时机吗	这是 花粉症 的 合适 时机 吗	  现在 是 您 得 花粉症 的 时候 吗  
13	13	13	13	en	zh	 and it get the chest pain 	 我开始胸痛 	CMU_1:18	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	它得到胸痛	它 得到 胸痛	  我 开始 胸痛  
14	14	14	14	en	zh	 and i think i have a little bit of a fever 	 我想我有点发热 	CMU_1:19	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我想我有点发烧	我 想 我 有点 发烧	  我 想 我 有点 发热  
15	15	15	15	en	zh	 and i want you to describe where the chest pain is 	 我希望您描述一下胸痛的部位 	CMU_1:20	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我想让你描述胸痛在哪里	我 想 让 你 描述 胸痛 在 哪里	  我 希望 您 描述 一下 胸痛 的 部位  
16	16	16	16	en	zh	 and they're having some fevers as well 	 他们也出现一定程度的发热症状 	CMU_1:23	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	他们也发烧了	他们 也 发烧 了	  他们 也 出现 一定 程度 的 发热 症状  
17	17	17	17	en	zh	 and with your history of diabetes 	 有糖尿病史 	CMU_1:24	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	以及您的糖尿病病史	以及 您 的 糖尿病 病史	  有 糖尿病 史  
18	18	18	18	en	zh	 and you know it feels like my chest is like gonna crush 	 我感觉我的胸部要被压扁了 	CMU_1:25	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你知道这感觉就像我的胸膛要压碎一样	你 知道 这 感觉 就 像 我 的 胸膛 要 压碎 一样	  我 感觉 我 的 胸部 要 被 压扁 了  
19	19	19	19	en	zh	 and you know people cough on me all the time 	 人们一直在冲我咳嗽 	CMU_1:26	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你知道人们总是对我咳嗽	你 知道 人们 总是 对 我 咳嗽	  人们 一直 在 冲 我 咳嗽  
20	20	20	20	en	zh	 and you're having chest pain 	 您现在出现胸痛症状 	CMU_1:27	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	并且您有胸痛	并且 您 有 胸痛	  您 现在 出现 胸痛 症状  
21	21	21	21	en	zh	 and you said this is a pressure in your chest 	 您曾说感觉胸部受到挤压 	CMU_1:29	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你说这是你胸口的压力	你 说 这 是 你 胸口 的 压力	  您 曾 说 感觉 胸部 受到 挤压  
22	22	22	22	en	zh	 anyone in the family have a heart problem heart disease heart attack high cholesterol high blood pressure 	 家中有没有亲属患有心脏问题、心脏病、心肌梗死、高胆固醇和高血压 	CMU_1:30	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	家庭中的任何人都有心脏病心脏病发作高胆固醇高血压	家庭 中 的 任何人 都 有 心脏病 心脏病 发作 高 胆固醇 高血压	  家中 有没有 亲属 患有 心脏 问题 、 心脏病 、 心肌梗死 、 高 胆固醇 和 高血压  
23	23	23	23	en	zh	 any other symptoms or problems that you notice with the muscle aches? 	 除了肌肉酸痛，您还有任何其他症状或问题吗？ 	CMU_1:31	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	您注意到肌肉酸痛的任何其他症状或问题吗？	您 注意 到 肌肉 酸痛 的 任何 其他 症状 或 问题 吗 ？	  除了 肌肉 酸痛 ， 您 还有 任何 其他 症状 或 问题 吗 ？  
24	24	24	24	en	zh	 are there other people sick as you at home with your same symptoms? 	 家中有没有其他亲属生病并出现与您一样的症状？ 	CMU_1:33	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	家里还有其他人和你一样有同样的症状吗？	家里 还有 其他人 和 你 一样 有 同样 的 症状 吗 ？	  家中 有没有 其他 亲属 生病 并 出现 与 您 一样 的 症状 ？  
25	25	25	25	en	zh	 are you having any other symptoms? 	 还有任何其他症状吗？ 	CMU_1:35	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	您还有其他症状吗？	您 还有 其他 症状 吗 ？	  还有 任何 其他 症状 吗 ？  
26	26	26	26	en	zh	 are you having any shortness of breath? 	 您现在感到气促吗？ 	CMU_1:36	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你有呼吸急促吗？	你 有 呼吸 急促 吗 ？	  您 现在 感到 气促 吗 ？  
27	27	27	27	en	zh	 are you still having the chest pain 	 您现在还有胸痛吗 	CMU_1:37	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你还有胸痛吗	你 还有 胸痛 吗	  您 现在 还有 胸痛 吗  
28	28	28	28	en	zh	 because this is flu season 	 因为现在是流感季节 	CMU_1:38	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	因为这是流感季节	因为 这是 流感 季节	  因为 现在 是 流感 季节  
29	29	29	29	en	zh	 but also we shouldn't be put aside for the heart cardiac origin chest pain 	 同时，我们不应排除心源性胸痛 	CMU_1:40	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但我们也不应该因为心脏心脏起源胸痛而被搁置一旁	但 我们 也 不 应该 因为 心脏 心脏 起源 胸痛 而 被 搁置 一旁	  同时 ， 我们 不 应 排除 心源性 胸痛  
30	30	30	30	en	zh	 but a more important problem now is this chest pain 	 但现在更重要的问题是胸痛 	CMU_1:41	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但现在一个更重要的问题是这种胸痛	但 现在 一个 更 重要 的 问题 是 这种 胸痛	  但 现在 更 重要 的 问题 是 胸痛  
31	31	31	31	en	zh	 but i have difficulty breathing 	 但我有呼吸困难 	CMU_1:43	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但是我呼吸困难	但是 我 呼吸困难	  但 我 有 呼吸困难  
32	32	32	32	en	zh	 but i know lot of people cough on me 	 但我知道很多人冲我咳嗽 	CMU_1:44	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但我知道很多人咳嗽我	但 我 知道 很多 人 咳嗽 我	  但 我 知道 很多 人冲 我 咳嗽  
33	33	33	33	en	zh	 but we need to treat every chest pain with the utmost seriousness 	 我们需要严肃对待每一种胸痛 	CMU_1:45	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但我们需要以最严肃的态度对待每一次胸痛	但 我们 需要 以 最 严肃 的 态度 对待 每 一次 胸痛	  我们 需要 严肃 对待 每 一种 胸痛  
34	34	34	34	en	zh	 but you're breathing all right right now right? 	 但您目前呼吸顺畅，对吗？ 	CMU_1:46	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但是你现在呼吸很好吧？	但是 你 现在 呼吸 很 好 吧 ？	  但 您 目前 呼吸 顺畅 ， 对 吗 ？  
35	35	35	35	en	zh	 'cause of this chest pain i totally forgot 	 完全忘记造成这次胸痛的原因 	CMU_1:47	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	“胸痛的原因我完全忘记了	“ 胸痛 的 原因 我 完全 忘记 了	  完全 忘记 造成 这次 胸痛 的 原因  
36	36	36	36	en	zh	 does it feel like somebody squeezing your chest 	 感觉有人在挤压您的胸部吗 	CMU_1:49	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	是不是感觉像有人在捏你的胸膛	是不是 感觉 像 有人 在 捏 你 的 胸膛	  感觉 有人 在 挤压 您 的 胸部 吗  
37	37	37	37	en	zh	 do still feel like shortness of breath 	 仍然感到气促 	CMU_1:50	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	仍然感觉呼吸急促	仍然 感觉 呼吸 急促	  仍然 感到 气促  
38	38	38	38	en	zh	 do they complain of being sick similar symptoms? 	 他们也在抱怨身体不适并出现类似症状吗？ 	CMU_1:51	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	他们是否抱怨生病了类似的症状？	他们 是否 抱怨 生病 了 类似 的 症状 ？	  他们 也 在 抱怨 身体 不适 并 出现 类似 症状 吗 ？  
39	39	39	39	en	zh	 do you have any other chronic like high blood pressure or anything like that? 	 您还有任何其他慢性病吗？比如，高血压或类似疾病。 	CMU_1:53	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	您是否还有其他慢性疾病，如高血压或类似疾病？	您 是否 还有 其他 慢性 疾病 ， 如 高血压 或 类似 疾病 ？	  您 还有 任何 其他 慢性病 吗 ？ 比如 ， 高血压 或 类似 疾病 。  
40	40	40	40	en	zh	 do you have any other diseases chronic medical problems like diabetes? 	 还有任何其他疾病和慢性健康问题吗？比如，糖尿病。 	CMU_1:54	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	您是否患有其他慢性疾病，如糖尿病？	您 是否 患有 其他 慢性 疾病 ， 如 糖尿病 ？	  还有 任何 其他 疾病 和 慢性 健康 问题 吗 ？ 比如 ， 糖尿病 。  
41	41	41	41	en	zh	 do you have any shortness of breath with that chest pain? 	 您的胸痛伴有气促症状吗？ 	CMU_1:55	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	胸痛有呼吸急促吗？	胸痛 有 呼吸 急促 吗 ？	  您 的 胸痛 伴有 气促 症状 吗 ？  
42	42	42	42	en	zh	 do you have high blood pressure? 	 您有高血压病史吗？ 	CMU_1:56	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你有高血压吗？	你 有 高血压 吗 ？	  您 有 高血压 病史 吗 ？  
43	43	43	43	en	zh	 do you have some shortness of breath goes with that? 	 您有气促症状吗？ 	CMU_1:57	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你有呼吸急促吗？	你 有 呼吸 急促 吗 ？	  您 有 气促 症状 吗 ？  
44	44	44	44	en	zh	 do you know what symptoms she was having? 	 您知道她有什么症状吗？ 	CMU_1:58	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你知道她有什么症状吗？	你 知道 她 有 什么 症状 吗 ？	  您 知道 她 有 什么 症状 吗 ？  
45	45	45	45	en	zh	 do you see the image? 	 您看到图像了吗？ 	CMU_1:60	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你看到图像了吗？	你 看到 图像 了 吗 ？	  您 看到 图像 了 吗 ？  
46	46	46	46	en	zh	 drink plenty of fluids today 	 今天喝了很多水 	CMU_1:61	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	今天多喝水	今天 多喝水	  今天 喝 了 很多 水  
47	47	47	47	en	zh	 however i take tests for the diabetes 	 但我接受了糖尿病的检查 	CMU_1:63	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但是我接受糖尿病检查	但是 我 接受 糖尿病 检查	  但 我 接受 了 糖尿病 的 检查  
48	48	48	48	en	zh	 however she has symptoms quite similar to mine 	 但她的症状与我的症状十分相似 	CMU_1:64	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	但是她的症状与我的症状非常相似	但是 她 的 症状 与 我 的 症状 非常 相似	  但 她 的 症状 与 我 的 症状 十分相似  
49	49	49	49	en	zh	 how high is your fever? 	 您的发热达到多少度？ 	CMU_1:65	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你的发烧有多高？	你 的 发烧 有 多 高 ？	  您 的 发热 达到 多少度 ？  
50	50	50	50	en	zh	 how' s your blood pressure? 	 您的血压如何？ 	CMU_1:66	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	你的血压怎么样？	你 的 血压 怎么样 ？	  您 的 血压 如何 ？  
51	51	51	51	en	zh	 if you continue to have high fevers 	 如果您继续高热不退 	CMU_1:69	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	如果您继续发高烧	如果 您 继续 发高烧	  如果 您 继续 高热 不 退  
52	52	52	52	en	zh	 if you have a fever of a hundred and two or higher 	 如果您的发热达到 102°F 或以上 	CMU_1:70	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	如果您发烧一百零二或更高	如果 您 发烧 一百零二 或 更 高	  如果 您 的 发热 达到   102 ° F   或 以上  
53	53	53	53	en	zh	 if you think that your symptoms or problems warrant a better look 	 如果您认为自己的症状或问题有必要进一步观察 	CMU_1:71	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	如果您认为您的症状或问题需要更好的外观	如果 您 认为 您 的 症状 或 问题 需要 更好 的 外观	  如果 您 认为 自己 的 症状 或 问题 有 必要 进一步 观察  
54	54	54	54	en	zh	 i got a fever yesterday 	 我昨天发热 	CMU_1:72	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我昨天发烧了	我 昨天 发烧 了	  我 昨天 发热  
55	55	55	55	en	zh	 i got a slight fever too 	 我也出现低热症状 	CMU_1:73	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我也发了点烧	我 也 发 了 点 烧	  我 也 出现 低热 症状  
56	56	56	56	en	zh	 i had a fever yesterday 	 我昨天发热 	CMU_1:74	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我昨天发烧了	我 昨天 发烧 了	  我 昨天 发热  
57	57	57	57	en	zh	 i have a sharp pain here in the chest 	 我的胸部刺痛 	CMU_1:76	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我的胸部有剧痛	我 的 胸部 有 剧痛	  我 的 胸部 刺痛  
58	58	58	58	en	zh	 i have some difficulty breathing too 	 我也有些呼吸困难 	CMU_1:79	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我也有些呼吸困难	我 也 有些 呼吸困难	  我 也 有些 呼吸困难  
59	59	59	59	en	zh	 i'll send you an image 	 我会发给您一张图像 	CMU_1:80	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我会给你发一张图片	我会 给 你 发 一张 图片	  我会 发给您 一张 图像  
60	60	60	60	en	zh	 i'm having some chest pain today 	 我今天有些胸痛 	CMU_1:81	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我今天有些胸痛	我 今天 有些 胸痛	  我 今天 有些 胸痛  
61	61	61	61	en	zh	 i'm just having some headaches and some fever today 	 我今天有些头痛和发热 	CMU_1:82	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我今天只是有些头痛和发烧	我 今天 只是 有些 头痛 和 发烧	  我 今天 有些 头痛 和 发热  
62	62	62	62	en	zh	 in my opinion it is flu 	 我认为这是流感 	CMU_1:83	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	在我看来是流感	在我看来 是 流感	  我 认为 这是 流感  
63	63	63	63	en	zh	 in my opinion this is a little flu 	 我认为这是轻微流感 	CMU_1:84	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	在我看来，这是一点流感	在我看来 ， 这是 一点 流感	  我 认为 这是 轻微 流感  
64	64	64	64	en	zh	 is it like some heavy heavy person sitting on your chest? 	 像是一个很重的人坐在您胸口吗？ 	CMU_1:86	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	是不是像某个沉重的人坐在你的胸前？	是不是 像 某个 沉重 的 人 坐在 你 的 胸前 ？	  像是 一个 很重 的 人 坐在 您 胸口 吗 ？  
65	65	65	65	en	zh	 it all started with the headaches and with the fever about the same time 	 头痛和发热几乎同时开始 	CMU_1:87	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	这一切都始于头痛和大约同时发烧	这 一切 都 始于 头痛 和 大约 同时 发烧	  头痛 和 发热 几乎 同时 开始  
66	66	66	66	en	zh	 it hurts in the middle of my chest 	 我的胸口痛 	CMU_1:89	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	胸口中间疼	胸口 中间 疼	  我 的 胸口 痛  
67	67	67	67	en	zh	 it is a pressure like chest pain 	 挤压式胸痛 	CMU_1:90	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	这是一种像胸痛一样的压力	这是 一种 像 胸痛 一样 的 压力	  挤压 式 胸痛  
68	68	68	68	en	zh	 it is in my chest 	 在我的胸部 	CMU_1:91	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	它在我的胸口	它 在 我 的 胸口	  在 我 的 胸部  
69	69	69	69	en	zh	 it is in the center of my chest 	 在我的胸口 	CMU_1:92	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	它在我的胸部中央	它 在 我 的 胸部 中央	  在 我 的 胸口  
70	70	70	70	en	zh	 it is in the center of the chest 	 在胸口 	CMU_1:93	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	它在胸部的中央	它 在 胸部 的 中央	  在 胸口  
71	71	71	71	en	zh	 i've got pain in my chest 	 我感到胸痛 	CMU_1:97	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我胸口疼	我 胸口 疼	  我 感到 胸痛  
72	72	72	72	en	zh	 i've very concerned of this chest pain 	 胸痛让我非常苦恼 	CMU_1:98	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我非常担心这种胸痛	我 非常 担心 这种 胸痛	  胸痛 让 我 非常 苦恼  
73	73	73	73	en	zh	 i want you to tell me in describing this chest pain 	 希望您描述一下胸痛的感受 	CMU_1:99	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	我想让你告诉我描述这种胸痛	我 想 让 你 告诉 我 描述 这种 胸痛	  希望 您 描述 一下 胸痛 的 感受  
74	74	74	74	en	zh	 like high blood pressure or diabetes 	 像是高血压或糖尿病 	CMU_1:102	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	如高血压或糖尿病	如 高血压 或 糖尿病	  像是 高血压 或 糖尿病  
75	75	75	75	en	zh	 like right in the center of the chest 	 像是在胸口 	CMU_1:103	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	就像在胸部中央	就 像 在 胸部 中央	  像是 在 胸口  
76	76	76	76	en	zh	 now for the fever you can take a tachipirina sweet 	 为缓解发热症状，你可以服用 tachipirina，亲爱的 	CMU_1:106	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	现在发烧你可以吃一个塔奇皮里纳甜食	现在 发烧 你 可以 吃 一个 塔奇皮 里纳 甜食	  为 缓解 发热 症状 ， 你 可以 服用   tachipirina ， 亲爱 的  
77	77	77	77	en	zh	 now mary how many days have you had the symptoms 	 mary，你的症状持续多少天了 	CMU_1:108	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	现在玛丽你有多少天有症状	现在 玛丽 你 有 多少 天有 症状	  mary ， 你 的 症状 持续 多少 天 了  
78	78	78	78	en	zh	 now you said you have a chest pain 	 您曾说感到胸痛 	CMU_1:109	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	现在你说你有胸痛	现在 你 说 你 有 胸痛	  您 曾 说 感到 胸痛  
79	79	79	79	en	zh	 occasionally i have some chest pain 	 我偶尔会有胸痛症状 	CMU_1:110	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	偶尔我有一些胸痛	偶尔 我 有 一些 胸痛	  我 偶尔 会 有 胸痛 症状  
80	80	80	80	en	zh	 okay are you having any other symptoms along with this other than just the pain 	 好的，除了疼痛，您还有任何其他症状吗？ 	CMU_1:111	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	好的，除了疼痛之外，您还有其他症状吗	好 的 ， 除了 疼痛 之外 ， 您 还有 其他 症状 吗	  好 的 ， 除了 疼痛 ， 您 还有 任何 其他 症状 吗 ？  
81	81	81	81	en	zh	 or somebody sitting on your chest? 	 还是感到有人坐在您胸口？ 	CMU_1:113	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	还是有人坐在你的胸前？	还是 有人 坐在 你 的 胸前 ？	  还是 感到 有人 坐在 您 胸口 ？  
82	82	82	82	en	zh	 pretty much the same with the fever and the cough headache and muscle pains 	 症状基本一致，发热、咳嗽、头痛和肌肉酸痛 	CMU_1:114	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	发烧和咳嗽头痛和肌肉疼痛几乎相同	发烧 和 咳嗽 头痛 和 肌肉 疼痛 几乎 相同	  症状 基本一致 ， 发热 、 咳嗽 、 头痛 和 肌肉 酸痛  
83	83	83	83	en	zh	 right in the middle of my chest 	 在我的右胸口 	CMU_1:115	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	就在我胸口的中间	就 在 我 胸口 的 中间	  在 我 的 右 胸口  
84	84	84	84	en	zh	 show me on this image where you feel the pain 	 请在这张图像上指出您感到疼痛的位置 	CMU_1:116	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	在这张图片上给我看你感到疼痛的地方	在 这张 图片 上 给 我 看 你 感到 疼痛 的 地方	  请 在 这张 图像 上 指出 您 感到 疼痛 的 位置  
85	85	85	85	en	zh	 since you have a fever 	 鉴于有发热症状 	CMU_1:117	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	因为你发烧了	因为 你 发烧 了	  鉴于 有 发热 症状  
86	86	86	86	en	zh	 so do you think that some of these symptoms could be related to being pregnant? 	 您认为其中一些症状可能与怀孕有关吗？ 	CMU_1:118	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	那么，您认为其中一些症状可能与怀孕有关吗？	那么 ， 您 认为 其中 一些 症状 可能 与 怀孕 有关 吗 ？	  您 认为 其中 一些 症状 可能 与 怀孕 有关 吗 ？  
87	87	87	87	en	zh	 so your children are having some of the same symptoms? 	 您的孩子们也有一些相同的症状？ 	CMU_1:120	http://www.speech.cs.cmu.edu/haitian/text/1600_medical_domain_sentences.en	public	TOFILL	所以你的孩子有一些相同的症状？	所以 你 的 孩子 有 一些 相同 的 症状 ？	  您 的 孩子 们 也 有 一些 相同 的 症状 ？  
